months_practicing,identity,years_practicing
120.0,Polyamory,10.0
45.0,Solo Polyamory,3.75
192.0,,16.0
192.0,Polyamory,16.0
180.0,Garden Party Polyamory,15.0
12.0,Hierarchical Polyamory,1.0
120.0,Polyamory,10.0
336.0,Monogamish,28.0
120.0,Solo Polyamory,10.0
30.0,Kitchen Table Polyamory,2.5
52.0,Hierarchical Polyamory,4.333333333333333
60.0,Solo Polyamory,5.0
108.0,Hierarchical Polyamory,9.0
54.0,Polyamory,4.5
35.0,Throuple/Triad,2.9166666666666665
6.0,Solo Polyamory,0.5
58.0,Polyfidelity,4.833333333333333
108.0,Kitchen Table Polyamory,9.0
48.0,Polyamory,4.0
144.0,Ethical / Consensual Non-monogamy,12.0
104.0,Other CNM Type,8.666666666666666
360.0,Relationship Anarchy,30.0
60.0,Polyamory,5.0
241.0,Non-hierarchical Polyamory,20.083333333333332
38.0,Throuple/Triad,3.1666666666666665
66.0,Relationship Anarchy,5.5
156.0,Open Relationship,13.0
60.0,Ethical / Consensual Non-monogamy,5.0
132.0,Relationship Anarchy,11.0
48.0,Relationship Anarchy,4.0
30.0,Ethical / Consensual Non-monogamy,2.5
30.0,Polyamory,2.5
60.0,Ethical / Consensual Non-monogamy,5.0
155.0,Non-hierarchical Polyamory,12.916666666666666
48.0,Hierarchical Polyamory,4.0
30.0,Polyamory,2.5
64.0,Relationship Anarchy,5.333333333333333
50.0,Polyamory,4.166666666666667
36.0,Lifestyle/Swinger,3.0
144.0,Relationship Anarchy,12.0
77.0,Other CNM Type,6.416666666666667
120.0,Kitchen Table Polyamory,10.0
132.0,Open Relationship,11.0
2.0,Ethical / Consensual Non-monogamy,0.16666666666666666
127.0,Open Relationship,10.583333333333334
144.0,Open Relationship,12.0
48.0,Hierarchical Polyamory,4.0
60.0,Lifestyle/Swinger,5.0
180.0,Polyamory,15.0
46.0,Lifestyle/Swinger,3.8333333333333335
0.0,Polyfidelity,0.0
168.0,Ethical / Consensual Non-monogamy,14.0
288.0,Open Relationship,24.0
312.0,Ethical / Consensual Non-monogamy,26.0
49.0,Lifestyle/Swinger,4.083333333333333
241.0,Kitchen Table Polyamory,20.083333333333332
28.0,Solo Polyamory,2.3333333333333335
32.0,Lifestyle/Swinger,2.6666666666666665
156.0,Ethical / Consensual Non-monogamy,13.0
20.0,Solo Polyamory,1.6666666666666667
36.0,Lifestyle/Swinger,3.0
12.0,Lifestyle/Swinger,1.0
60.0,Ethical / Consensual Non-monogamy,5.0
48.0,Other CNM Type,4.0
310.0,Monogamish,25.833333333333332
30.0,Ethical / Consensual Non-monogamy,2.5
72.0,Monogamish,6.0
324.0,Open Relationship,27.0
41.0,Kitchen Table Polyamory,3.4166666666666665
9.0,Lifestyle/Swinger,0.75
24.0,Solo Polyamory,2.0
69.0,Polyamory,5.75
72.0,Fetish/BDSM non-monogamy,6.0
60.0,Lifestyle/Swinger,5.0
60.0,Polyamory,5.0
28.0,Ethical / Consensual Non-monogamy,2.3333333333333335
35.0,Ethical / Consensual Non-monogamy,2.9166666666666665
36.0,Open Relationship,3.0
132.0,Kitchen Table Polyamory,11.0
24.0,Kitchen Table Polyamory,2.0
180.0,Solo Polyamory,15.0
2.0,Ethical / Consensual Non-monogamy,0.16666666666666666
108.0,Open Relationship,9.0
39.0,Polyamory,3.25
699.0,Kitchen Table Polyamory,58.25
4.0,Polyamory,0.3333333333333333
84.0,Ethical / Consensual Non-monogamy,7.0
132.0,Polyamory,11.0
216.0,Polyamory,18.0
24.0,Lifestyle/Swinger,2.0
96.0,Solo Polyamory,8.0
251.0,Lifestyle/Swinger,20.916666666666668
93.0,Non-hierarchical Polyamory,7.75
257.0,Ethical / Consensual Non-monogamy,21.416666666666668
312.0,Relationship Anarchy,26.0
22.0,Solo Polyamory,1.8333333333333333
42.0,Polyamory,3.5
135.0,Kitchen Table Polyamory,11.25
249.0,Other CNM Type,20.75
30.0,Polyamory,2.5
24.0,Polyamory,2.0
120.0,Solo Polyamory,10.0
60.0,Lifestyle/Swinger,5.0
234.0,Polyfidelity,19.5
36.0,Lifestyle/Swinger,3.0
48.0,Solo Polyamory,4.0
120.0,Ethical / Consensual Non-monogamy,10.0
240.0,Ethical / Consensual Non-monogamy,20.0
600.0,Polyamory,50.0
28.0,Lifestyle/Swinger,2.3333333333333335
192.0,Ethical / Consensual Non-monogamy,16.0
180.0,Relationship Anarchy,15.0
63.0,Garden Party Polyamory,5.25
34.0,,2.8333333333333335
174.0,Lifestyle/Swinger,14.5
77.0,Kitchen Table Polyamory,6.416666666666667
72.0,Polyamory,6.0
420.0,Lifestyle/Swinger,35.0
34.0,Lifestyle/Swinger,2.8333333333333335
96.0,Ethical / Consensual Non-monogamy,8.0
120.0,Solo Polyamory,10.0
96.0,Lifestyle/Swinger,8.0
109.0,Polyamory,9.083333333333334
24.0,Monogamish,2.0
276.0,Lifestyle/Swinger,23.0
144.0,Polyamory,12.0
206.0,Polyamory,17.166666666666668
42.0,Ethical / Consensual Non-monogamy,3.5
180.0,Lifestyle/Swinger,15.0
30.0,Kitchen Table Polyamory,2.5
204.0,Fetish/BDSM non-monogamy,17.0
36.0,Lifestyle/Swinger,3.0
36.0,Solo Polyamory,3.0
57.0,Polyamory,4.75
372.0,Hierarchical Polyamory,31.0
72.0,Ethical / Consensual Non-monogamy,6.0
12.0,Polyamory,1.0
240.0,Fetish/BDSM non-monogamy,20.0
120.0,Non-hierarchical Polyamory,10.0
32.0,Ethical / Consensual Non-monogamy,2.6666666666666665
38.0,Relationship Anarchy,3.1666666666666665
72.0,Ethical / Consensual Non-monogamy,6.0
52.0,Lifestyle/Swinger,4.333333333333333
41.0,Lifestyle/Swinger,3.4166666666666665
10.0,Ethical / Consensual Non-monogamy,0.8333333333333334
32.0,Garden Party Polyamory,2.6666666666666665
120.0,Fetish/BDSM non-monogamy,10.0
