primary_identity,secondary_identity,overlap_percentage
All Respondents,Ethical / Consensual Non-Monogamy,0.6833163438668026
Ethical / Consensual Non-monogamy,Ethical / Consensual Non-Monogamy,0.9404296875
Fetish/BDSM non-monogamy,Ethical / Consensual Non-Monogamy,0.625
Garden Party Polyamory,Ethical / Consensual Non-Monogamy,0.5955882352941176
Hierarchical Polyamory,Ethical / Consensual Non-Monogamy,0.717391304347826
Kitchen Table Polyamory,Ethical / Consensual Non-Monogamy,0.6749521988527725
Lifestyle/Swinger,Ethical / Consensual Non-Monogamy,0.5459183673469388
Monogamish,Ethical / Consensual Non-Monogamy,0.6136363636363636
Non-hierarchical Polyamory,Ethical / Consensual Non-Monogamy,0.6105610561056105
Open Relationship,Ethical / Consensual Non-Monogamy,0.7337883959044369
Other CNM Type,Ethical / Consensual Non-Monogamy,0.5752212389380531
Polyamory,Ethical / Consensual Non-Monogamy,0.6309278350515464
Polyfidelity,Ethical / Consensual Non-Monogamy,0.5652173913043478
Relationship Anarchy,Ethical / Consensual Non-Monogamy,0.6101694915254238
Solo Polyamory,Ethical / Consensual Non-Monogamy,0.6043956043956044
Throuple/Triad,Ethical / Consensual Non-Monogamy,0.4810126582278481
All Respondents,Fetish/Bdsm Non-Monogamy,0.21763506625891946
Ethical / Consensual Non-monogamy,Fetish/Bdsm Non-Monogamy,0.201171875
Fetish/BDSM non-monogamy,Fetish/Bdsm Non-Monogamy,0.90625
Garden Party Polyamory,Fetish/Bdsm Non-Monogamy,0.25
Hierarchical Polyamory,Fetish/Bdsm Non-Monogamy,0.20869565217391303
Kitchen Table Polyamory,Fetish/Bdsm Non-Monogamy,0.21414913957934992
Lifestyle/Swinger,Fetish/Bdsm Non-Monogamy,0.10714285714285714
Monogamish,Fetish/Bdsm Non-Monogamy,0.1893939393939394
Non-hierarchical Polyamory,Fetish/Bdsm Non-Monogamy,0.19801980198019803
Open Relationship,Fetish/Bdsm Non-Monogamy,0.18771331058020477
Other CNM Type,Fetish/Bdsm Non-Monogamy,0.18584070796460178
Polyamory,Fetish/Bdsm Non-Monogamy,0.19312714776632303
Polyfidelity,Fetish/Bdsm Non-Monogamy,0.15217391304347827
Relationship Anarchy,Fetish/Bdsm Non-Monogamy,0.2344632768361582
Solo Polyamory,Fetish/Bdsm Non-Monogamy,0.25824175824175827
Throuple/Triad,Fetish/Bdsm Non-Monogamy,0.17721518987341772
All Respondents,Garden Party Polyamory,0.19215086646279306
Ethical / Consensual Non-monogamy,Garden Party Polyamory,0.1298828125
Fetish/BDSM non-monogamy,Garden Party Polyamory,0.10416666666666667
Garden Party Polyamory,Garden Party Polyamory,0.8602941176470589
Hierarchical Polyamory,Garden Party Polyamory,0.16956521739130434
Kitchen Table Polyamory,Garden Party Polyamory,0.21032504780114722
Lifestyle/Swinger,Garden Party Polyamory,0.03571428571428571
Monogamish,Garden Party Polyamory,0.015151515151515152
Non-hierarchical Polyamory,Garden Party Polyamory,0.2739273927392739
Open Relationship,Garden Party Polyamory,0.07508532423208192
Other CNM Type,Garden Party Polyamory,0.1415929203539823
Polyamory,Garden Party Polyamory,0.21786941580756014
Polyfidelity,Garden Party Polyamory,0.043478260869565216
Relationship Anarchy,Garden Party Polyamory,0.2132768361581921
Solo Polyamory,Garden Party Polyamory,0.21794871794871795
Throuple/Triad,Garden Party Polyamory,0.02531645569620253
All Respondents,Hierarchical Polyamory,0.15426435609921849
Ethical / Consensual Non-monogamy,Hierarchical Polyamory,0.1728515625
Fetish/BDSM non-monogamy,Hierarchical Polyamory,0.20833333333333334
Garden Party Polyamory,Hierarchical Polyamory,0.22794117647058823
Hierarchical Polyamory,Hierarchical Polyamory,0.8521739130434782
Kitchen Table Polyamory,Hierarchical Polyamory,0.15487571701720843
Lifestyle/Swinger,Hierarchical Polyamory,0.04081632653061224
Monogamish,Hierarchical Polyamory,0.17424242424242425
Non-hierarchical Polyamory,Hierarchical Polyamory,0.019801980198019802
Open Relationship,Hierarchical Polyamory,0.2354948805460751
Other CNM Type,Hierarchical Polyamory,0.1504424778761062
Polyamory,Hierarchical Polyamory,0.13676975945017184
Polyfidelity,Hierarchical Polyamory,0.2391304347826087
Relationship Anarchy,Hierarchical Polyamory,0.03531073446327684
Solo Polyamory,Hierarchical Polyamory,0.06776556776556776
Throuple/Triad,Hierarchical Polyamory,0.10126582278481013
All Respondents,Kitchen Table Polyamory,0.36289500509684
Ethical / Consensual Non-monogamy,Kitchen Table Polyamory,0.2607421875
Fetish/BDSM non-monogamy,Kitchen Table Polyamory,0.1875
Garden Party Polyamory,Kitchen Table Polyamory,0.3088235294117647
Hierarchical Polyamory,Kitchen Table Polyamory,0.25217391304347825
Kitchen Table Polyamory,Kitchen Table Polyamory,0.9445506692160612
Lifestyle/Swinger,Kitchen Table Polyamory,0.05102040816326531
Monogamish,Kitchen Table Polyamory,0.09090909090909091
Non-hierarchical Polyamory,Kitchen Table Polyamory,0.48184818481848185
Open Relationship,Kitchen Table Polyamory,0.11945392491467577
Other CNM Type,Kitchen Table Polyamory,0.168141592920354
Polyamory,Kitchen Table Polyamory,0.4
Polyfidelity,Kitchen Table Polyamory,0.32608695652173914
Relationship Anarchy,Kitchen Table Polyamory,0.3728813559322034
Solo Polyamory,Kitchen Table Polyamory,0.2765567765567766
Throuple/Triad,Kitchen Table Polyamory,0.26582278481012656
All Respondents,Lifestyle/Swinger,0.12317363234794428
Ethical / Consensual Non-monogamy,Lifestyle/Swinger,0.18359375
Fetish/BDSM non-monogamy,Lifestyle/Swinger,0.1875
Garden Party Polyamory,Lifestyle/Swinger,0.022058823529411766
Hierarchical Polyamory,Lifestyle/Swinger,0.14782608695652175
