identity,entry_age
Polyamory,29
Solo Polyamory,26
,34
Polyamory,14
Garden Party Polyamory,37
Hierarchical Polyamory,44
Monogamish,14
Solo Polyamory,32
Kitchen Table Polyamory,30
Hierarchical Polyamory,43
Solo Polyamory,32
Hierarchical Polyamory,29
Polyamory,52
Throuple/Triad,28
Solo Polyamory,40
Polyfidelity,42
Kitchen Table Polyamory,24
Polyamory,24
Ethical / Consensual Non-monogamy,42
Other CNM Type,50
Relationship Anarchy,23
Polyamory,27
Non-hierarchical Polyamory,28
Throuple/Triad,38
Relationship Anarchy,26
Open Relationship,26
Ethical / Consensual Non-monogamy,33
Relationship Anarchy,25
Relationship Anarchy,37
Ethical / Consensual Non-monogamy,50
Polyamory,24
Ethical / Consensual Non-monogamy,49
Non-hierarchical Polyamory,36
Hierarchical Polyamory,22
Polyamory,34
Relationship Anarchy,21
Polyamory,41
Lifestyle/Swinger,50
Relationship Anarchy,17
Other CNM Type,21
Kitchen Table Polyamory,18
Open Relationship,30
Ethical / Consensual Non-monogamy,62
Open Relationship,34
Open Relationship,23
Hierarchical Polyamory,31
Lifestyle/Swinger,35
Polyamory,28
Lifestyle/Swinger,41
Ethical / Consensual Non-monogamy,48
Open Relationship,47
Ethical / Consensual Non-monogamy,27
Lifestyle/Swinger,46
Kitchen Table Polyamory,43
Solo Polyamory,29
Lifestyle/Swinger,51
Ethical / Consensual Non-monogamy,27
Solo Polyamory,43
Lifestyle/Swinger,38
Lifestyle/Swinger,41
Ethical / Consensual Non-monogamy,24
Other CNM Type,68
Monogamish,27
Ethical / Consensual Non-monogamy,46
Monogamish,28
Kitchen Table Polyamory,37
Lifestyle/Swinger,45
Solo Polyamory,33
Polyamory,31
Fetish/BDSM non-monogamy,18
Lifestyle/Swinger,33
Polyamory,19
Ethical / Consensual Non-monogamy,36
Ethical / Consensual Non-monogamy,33
Kitchen Table Polyamory,28
Kitchen Table Polyamory,37
Solo Polyamory,25
Ethical / Consensual Non-monogamy,51
Polyamory,31
Kitchen Table Polyamory,24
Polyamory,24
Ethical / Consensual Non-monogamy,29
Polyamory,21
Polyamory,24
Lifestyle/Swinger,38
Lifestyle/Swinger,24
Non-hierarchical Polyamory,26
Ethical / Consensual Non-monogamy,16
Relationship Anarchy,13
Solo Polyamory,38
Polyamory,30
Other CNM Type,18
Polyamory,66
Polyamory,30
Solo Polyamory,49
Lifestyle/Swinger,33
Polyfidelity,40
Lifestyle/Swinger,37
Solo Polyamory,23
Ethical / Consensual Non-monogamy,33
Ethical / Consensual Non-monogamy,26
Polyamory,17
Lifestyle/Swinger,36
Ethical / Consensual Non-monogamy,41
Relationship Anarchy,18
Garden Party Polyamory,36
,54
Kitchen Table Polyamory,38
Lifestyle/Swinger,23
Lifestyle/Swinger,38
Ethical / Consensual Non-monogamy,36
Solo Polyamory,20
Lifestyle/Swinger,33
Polyamory,30
Lifestyle/Swinger,20
Polyamory,23
Polyamory,22
Ethical / Consensual Non-monogamy,30
Kitchen Table Polyamory,48
Fetish/BDSM non-monogamy,17
Lifestyle/Swinger,37
Polyamory,42
Hierarchical Polyamory,21
Ethical / Consensual Non-monogamy,27
Polyamory,32
Fetish/BDSM non-monogamy,59
Non-hierarchical Polyamory,29
Ethical / Consensual Non-monogamy,34
Relationship Anarchy,29
Ethical / Consensual Non-monogamy,27
Lifestyle/Swinger,50
Lifestyle/Swinger,38
Ethical / Consensual Non-monogamy,44
Garden Party Polyamory,29
Fetish/BDSM non-monogamy,30
Relationship Anarchy,28
Relationship Anarchy,33
Polyamory,24
Hierarchical Polyamory,52
Polyamory,70
Polyamory,40
Ethical / Consensual Non-monogamy,47
Relationship Anarchy,28
Fetish/BDSM non-monogamy,27
Polyamory,41
Lifestyle/Swinger,43
Solo Polyamory,60
Relationship Anarchy,22
Polyamory,23
Kitchen Table Polyamory,32
Relationship Anarchy,26
